order,family,sp,occurrence_id,decimal_latitude,decimal_longitude
Chiroptera,Phyllostomidae,Desmodus rotundus,FCIE:MZFC-M:1317,21.20167,-99.54306
Chiroptera,Phyllostomidae,Artibeus lituratus,FCIE:MZFC-M:5966,21.05111,-99.83861
Chiroptera,Phyllostomidae,Sturnira ludovici,FCIE:MZFC-M:4870,17.44361,-96.5
Chiroptera,Phyllostomidae,Desmodus rotundus,FCIE:MZFC-M:3664,18.52556,-88.58694
Chiroptera,Phyllostomidae,Sturnira ludovici,FCIE:MZFC-M:6476,15.67167,-92.82
Chiroptera,Phyllostomidae,Sturnira lilium,FCIE:MZFC-M:10167,18.22639,-102.50333
Chiroptera,Phyllostomidae,Sturnira lilium,FCIE:MZFC-M:1588,17.41417,-100.20861
Chiroptera,Phyllostomidae,Desmodus rotundus,FCIE:MZFC-M:1310,21.06667,-99.68333
Chiroptera,Phyllostomidae,Leptonycteris yerbabuenae,FCIE:MZFC-M:3635,20.48333,-99.93333
Chiroptera,Phyllostomidae,Artibeus toltecus,FCIE:MZFC-M:6541,16.86667,-93.45333
Chiroptera,Phyllostomidae,Sturnira lilium,FCIE:MZFC-M:6469,20.39111,-98.22333
Chiroptera,Phyllostomidae,Artibeus aztecus,FCIE:MZFC-M:6519,20.40833,-98.20139
Chiroptera,Phyllostomidae,Desmodus rotundus,FCIE:MZFC-M:1314,21.0948,-99.69807
Chiroptera,Phyllostomidae,Artibeus toltecus,FCIE:MZFC-M:0902,21.20167,-99.57417
Chiroptera,Phyllostomidae,Sturnira ludovici,FCIE:MZFC-M:4940,17.53778,-99.68556
Chiroptera,Phyllostomidae,Sturnira ludovici,FCIE:MZFC-M:3754,18.22472,-97.04278
Chiroptera,Phyllostomidae,Sturnira lilium,FCIE:MZFC-M:0708,18.73972,-99.43389
Chiroptera,Phyllostomidae,Artibeus aztecus,FCIE:MZFC-M:9427,21.16528,-99.54722
Chiroptera,Phyllostomidae,Artibeus jamaicensis,FCIE:MZFC-M:0197,19.60056,-96.385
Chiroptera,Phyllostomidae,Uroderma bilobatum,FCIE:MZFC-M:6317,15.09139,-92.78472
Chiroptera,Phyllostomidae,Artibeus lituratus,FCIE:MZFC-M:5826,20.53167,-98.97333
Chiroptera,Phyllostomidae,Leptonycteris nivalis,FCIE:MZFC-M:9456,18.99583,-99.06028
Chiroptera,Phyllostomidae,Artibeus jamaicensis,FCIE:MZFC-M:9233,21.46167,-99.45139
Chiroptera,Phyllostomidae,Glossophaga soricina,FCIE:MZFC-M:5051,18.63333,-99.51667
Chiroptera,Phyllostomidae,Artibeus aztecus,FCIE:MZFC-M:4303,18.47222,-102.52028
Chiroptera,Phyllostomidae,Desmodus rotundus,FCIE:MZFC-M:3644,20.75944,-99.92194
Chiroptera,Phyllostomidae,Artibeus jamaicensis,FCIE:MZFC-M:0366,16.77833,-98.68722
Chiroptera,Phyllostomidae,Artibeus lituratus,FCIE:MZFC-M:3605,18.55333,-88.55444
Chiroptera,Phyllostomidae,Sturnira ludovici,FCIE:MZFC-M:10001,17.61944,-99.83806
